time_s,raw,averaged
0.16,335,335
0.17,337,338
0.22,318,317
0.22,317,316
0.22,323,322
0.22,317,320
0.22,326,327
0.22,325,324
0.22,331,329
0.22,327,328
0.22,334,332
0.22,334,333
0.22,336,335
0.22,335,335
0.22,337,338
0.28,311,310
0.28,315,314
0.28,311,311
0.28,314,313
0.28,316,315
0.28,311,311
0.28,315,316
0.28,315,314
0.28,312,313
0.28,317,317
0.28,317,315
0.28,313,314
0.28,318,317
0.28,316,314
0.28,316,316
0.28,317,316
0.28,315,315
0.28,316,318
0.28,317,317
0.28,315,315
0.28,321,319
0.28,319,318
0.28,319,318
0.28,320,321
0.29,319,318
0.29,322,321
0.29,319,318
0.29,324,322
0.29,320,318
0.29,322,321
0.29,321,320
0.29,320,320
0.29,321,320
0.29,321,320
0.29,323,322
0.29,318,319
0.29,322,320
0.29,319,318
0.29,322,321
0.29,319,317
0.29,320,321
0.29,317,316
0.29,322,320
0.29,317,317
0.29,319,320
0.29,319,318
0.29,318,319
0.29,316,316
0.29,317,317
0.29,318,317
0.29,318,317
0.29,318,318
0.29,314,316
0.29,321,320
0.29,315,316
0.29,318,319
0.29,317,316
0.29,320,320
0.29,317,315
0.29,320,319
0.29,318,317
0.29,317,319
0.29,316,315
0.29,317,316
0.29,318,316
0.29,318,317
0.29,320,318
0.29,314,316
0.29,318,319
0.29,316,315
0.35,320,319
0.35,318,317
0.35,320,320
0.35,318,317
0.35,321,319
0.35,315,315
0.35,319,318
0.4,314,314
0.4,316,317
0.4,316,316
0.4,317,316
0.4,318,316
0.41,315,316
0.42,319,317
0.47,318,317
0.47,319,319
0.47,314,316
0.47,322,321
0.47,319,318
0.47,323,322
0.48,321,319
0.53,323,322
0.53,321,320
0.53,326,325
0.53,324,322
0.53,323,323
0.54,323,323
0.55,322,324
0.61,326,324
0.61,324,323
0.61,325,325
0.61,321,321
0.61,327,326
0.61,323,323
0.61,327,327
0.67,324,324
0.67,329,328
0.67,322,324
0.67,330,328
0.67,326,325
0.67,326,326
0.68,325,323
0.74,325,324
0.74,325,325
0.74,325,325
0.74,325,324
0.74,321,322
0.74,328,326
0.74,324,323
0.8,328,327
0.8,323,323
0.8,327,326
0.8,321,321
0.8,325,325
0.8,321,322
0.81,327,325
0.86,324,322
0.86,321,322
0.86,324,322
0.86,321,322
0.86,323,322
0.87,322,321
0.87,326,323
0.93,319,320
0.93,322,322
0.93,319,319
0.93,323,321
0.93,317,318
0.93,320,320
0.94,319,317
1.0,320,319
1.0,318,316
1.0,317,317
1.0,317,315
1.0,316,317
1.0,316,316
1.01,315,314
1.07,314,314
1.07,310,312
1.07,315,315
1.07,312,311
1.07,315,314
1.07,310,310
1.07,313,314
1.13,312,310
1.13,313,313
1.13,312,310
1.13,313,312
1.13,311,309
1.13,311,312
1.14,312,312
1.19,313,312
1.19,314,313
1.19,311,312
1.19,315,314
1.19,313,312
1.19,318,316
1.2,311,312
1.25,316,317
1.25,313,312
1.25,316,319
1.25,315,314
