time_s,raw,averaged
0.17,0,0
0.17,0,0
0.17,0,0
0.17,0,0
0.17,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,63,96
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.23,0,0
0.3,635,635
0.3,637,636
0.3,634,636
0.3,635,635
0.3,637,636
0.3,634,636
0.3,635,636
0.3,635,636
0.3,636,636
0.3,635,636
0.3,637,636
0.3,637,636
0.3,636,635
0.3,636,636
0.3,636,636
0.3,637,635
0.3,636,635
0.3,636,636
0.3,635,636
0.3,636,636
0.3,639,636
0.3,639,636
0.3,637,636
0.3,637,636
0.3,636,635
0.3,637,636
0.3,0,0
0.3,0,0
0.3,0,0
0.3,0,0
0.3,0,0
0.3,92,316
0.3,636,636
0.3,636,636
0.3,637,636
0.3,637,635
0.3,637,636
0.3,637,636
0.3,636,636
0.3,636,636
0.3,636,635
0.3,188,386
0.3,570,547
0.3,0,0
0.3,0,0
0.3,0,0
0.3,0,0
0.3,0,0
0.3,638,636
0.3,637,635
0.3,636,636
0.3,636,636
0.31,636,636
0.31,637,636
0.31,636,635
0.31,637,636
0.31,637,635
0.31,635,636
0.31,638,636
0.31,636,636
0.31,638,636
0.31,637,636
0.31,638,636
0.31,635,636
0.31,636,636
0.31,635,635
0.31,636,636
0.31,635,635
0.31,638,636
0.31,637,636
0.31,637,636
0.31,636,636
0.31,636,636
0.31,638,636
0.31,636,636
0.31,637,636
0.31,636,635
0.32,637,636
0.37,636,636
0.37,636,636
0.37,635,636
0.37,635,636
0.37,637,636
0.37,637,636
0.38,635,636
0.44,637,636
0.44,636,636
0.44,635,635
0.44,636,636
0.44,635,636
0.44,637,636
0.45,637,635
0.51,635,636
0.51,635,635
0.51,637,636
0.51,637,636
0.51,636,636
0.51,636,635
0.51,635,636
0.57,637,636
0.57,636,636
0.57,637,635
0.57,637,636
0.57,636,636
0.57,634,636
0.58,637,635
0.63,637,636
0.63,637,635
0.63,636,636
0.63,636,636
0.63,636,636
0.64,637,636
0.64,636,635
0.69,637,636
0.69,637,636
0.69,637,636
0.69,636,636
0.69,638,636
0.7,635,636
0.71,638,636
0.77,638,636
0.77,637,635
0.77,637,636
0.77,637,636
0.77,636,636
0.77,638,636
0.78,636,636
0.83,637,636
0.83,638,636
0.83,636,635
0.83,638,636
0.83,636,636
0.83,637,636
0.84,638,636
0.89,636,636
0.89,637,636
0.89,635,635
0.89,636,636
0.89,635,636
0.9,636,636
0.91,634,636
0.96,637,636
0.96,635,636
0.96,637,635
0.96,635,636
0.96,636,636
0.96,636,636
0.97,633,637
1.03,636,636
1.03,637,636
1.03,636,636
1.03,637,636
1.03,635,635
1.03,636,636
1.04,637,636
1.1,636,636
1.1,634,636
1.1,636,636
1.1,637,636
1.1,636,636
1.1,635,636
1.1,637,636
1.16,636,636
1.16,635,636
1.16,637,637
1.16,637,636
1.16,638,636
1.16,636,636
1.17,637,636
1.22,637,636
1.22,636,636
1.22,636,636
1.22,637,636
1.22,636,637
1.23,635,636
1.23,634,637
1.28,636,636
1.28,637,636
1.28,635,635
1.28,638,636
1.28,637,636
1.29,637,636
1.3,636,636
1.36,635,635
1.36,637,635
1.36,636,636
1.36,636,635
1.36,634,636
1.36,636,635
1.37,634,636
1.43,636,636
1.43,637,636
1.43,636,636
1.43,636,636
1.43,636,636
1.43,636,635
1.43,635,636
1.49,634,636
1.49,638,636
1.49,636,636
1.49,636,635
1.49,635,636
1.49,635,636
1.5,637,636
1.55,638,635
1.55,635,636
1.55,637,636
1.55,637,636
