time_s,raw,averaged
0.22,410,409
0.22,413,413
0.22,405,40410
0.22,404,403
0.22,408,409
0.22,404,404
0.22,406,406
0.22,408,406
0.22,405,406
0.22,412,410
0.22,407,406
0.22,414,414
0.22,409,409
0.22,419,417
0.22,410,409
0.23,413,413
0.29,398,399
0.29,397,395
0.29,391,391
0.29,401,401
0.29,397,394
0.29,392,393
0.29,399,398
0.29,393,392
0.29,396,395
0.29,398,396
0.29,389,388
0.29,396,397
0.29,397,394
0.29,391,390
0.29,396,396
0.29,391,391
0.29,391,393
0.29,398,397
0.29,390,388
0.29,392,393
0.29,394,392
0.29,387,385
0.29,391,392
0.29,390,389
0.29,387,387
0.29,390,388
0.29,384,384
0.29,391,389
0.29,381,381
0.29,392,392
0.29,383,382
0.29,390,390
0.29,383,381
0.29,387,389
0.29,381,380
0.29,387,388
0.29,382,382
0.29,385,385
0.29,384,382
0.29,384,383
0.29,384,384
0.29,382,381
0.29,389,387
0.29,379,380
0.29,390,389
0.29,380,381
0.29,388,390
0.29,382,382
0.29,393,394
0.29,388,386
0.29,393,394
0.29,391,389
0.29,394,395
0.29,394,393
0.29,395,396
0.29,396,397
0.29,395,396
0.29,400,397
0.29,395,396
0.29,401,401
0.29,396,394
0.29,403,403
0.29,396,394
0.29,404,404
0.29,395,394
0.29,403,404
0.29,398,397
0.29,402,403
0.29,400,398
0.29,400,401
0.3,399,395
0.31,395,396
0.31,398,396
0.32,389,392
0.38,396,397
0.38,393,392
0.38,398,397
0.38,389,391
0.38,402,402
0.38,394,392
0.39,401,401
0.44,393,393
0.44,398,399
0.44,397,394
0.44,399,399
0.44,397,395
0.44,394,396
0.45,396,394
0.5,393,392
0.5,396,394
0.5,386,389
0.5,396,393
0.5,385,386
0.51,393,393
0.52,386,384
0.58,393,392
0.58,384,384
0.58,388,388
0.58,385,383
0.58,390,389
0.58,385,383
0.58,386,388
0.64,390,386
0.64,387,386
0.64,391,389
0.64,387,387
0.64,394,392
0.64,384,387
0.65,396,395
0.71,387,387
0.71,399,399
0.71,389,389
0.71,395,396
0.71,390,389
0.71,397,396
0.71,393,391
0.77,397,397
0.77,396,394
0.77,396,398
0.77,398,394
0.77,393,394
0.77,397,397
0.78,395,394
0.83,398,398
0.83,392,391
0.83,400,399
0.83,394,392
0.83,402,401
0.84,393,392
0.85,401,401
0.91,395,393
0.91,399,398
0.91,396,394
0.91,399,399
0.91,397,396
0.91,399,398
0.91,401,399
0.97,395,398
0.97,402,402
0.97,396,398
0.97,405,404
0.97,393,395
0.97,408,406
0.98,398,396
1.03,406,405
1.03,396,396
1.03,402,402
1.03,398,397
1.03,400,401
1.03,399,397
1.04,399,401
1.1,401,400
1.1,393,396
1.1,401,400
1.1,393,395
1.1,401,400
1.1,394,395
1.11,406,405
1.17,396,396
1.17,404,404
1.17,399,397
1.17,405,406
1.17,401,398
1.17,401,404
1.17,402,399
1.24,403,405
1.24,402,403
1.24,401,404
1.24,408,406
1.24,402,404
1.24,410,410
1.24,401,403
1.32,414,411
1.32,401,403
1.32,412,411
1.32,403,404
1.32,413,413
1.32,405,405
1.32,412,412
1.32,405,404
1.33,408,411
1.33,406,405
1.39,406,407
1.39,407,405
1.39,405,406
1.39,407,406
1.39,400,401
1.39,406,407
1.4,398,400
1.45,409,407
1.45,401,401
1.45,409,407
1.46,400,400
1.46,410,410
1.46,402,401
1.46,406,407
1.52,405,402
1.52,405,404
1.52,405,403
1.52,404,406
1.52,406,404
1.52,400,401
1.53,407,405
1.59,399,400
1.59,406,405
1.59,398,398
1.6,406,405
1.6,397,397
1.6,405,405
1.6,397,397
1.66,406,405
1.66,400,396
1.66,401,400
1.66,400,399
1.66,397,399
1.66,401,399
1.66,394,397
1.72,401,400
1.72,396,397
1.72,401,402
1.72,395,394
1.72,404,403
1.72,394,392
1.73,399,400
1.78,392,390
1.78,399,397
1.78,390,388
1.78,393,392
1.78,389,388
1.78,389,390
1.79,385,385
1.84,385,386
1.84,387,385
1.84,384,384
1.84,391,390
1.84,385,383
1.85,392,390
1.86,381,383
1.92,396,394
1.92,385,383
1.92,391,391
1.92,385,383
1.92,390,389
1.92,383,382
1.92,387,387
1.98,382,382
1.98,385,384
1.98,386,384
1.98,379,382
1.98,389,386
1.98,379,380
1.99,387,387
2.05,383,382
2.05,390,389
2.05,380,381
2.05,388,390
2.05,382,380
2.05,390,388
2.05,377,377
2.11,379,382
2.11,376,374
2.11,372,375
2.11,374,371
2.11,367,368
2.11,371,370
2.12,367,368
2.17,375,372
2.17,367,366
2.17,372,373
2.17,366,366
2.17,376,374
2.18,366,366
2.19,376,376
2.24,369,368
2.24,377,377
2.24,371,369
2.24,375,377
2.24,374,371
2.24,371,373
2.25,377,374
2.31,371,372
2.31,378,377
2.31,372,372
2.31,378,378
2.31,374,372
2.31,381,381
2.32,374,372
2.38,381,381
2.38,374,373
2.38,381,382
2.38,379,376
