time_s,raw,averaged
0.21,315,316
0.21,315,313
0.21,314,313
0.21,318,316
0.21,313,312
0.21,315,315
0.21,319,318
0.21,314,314
0.22,319,318
0.22,319,318
0.22,316,318
0.22,322,322
0.22,322,321
0.22,319,321
0.22,325,323
0.22,319,319
0.22,321,321
0.22,323,321
0.22,316,318
0.22,323,322
0.22,322,322
0.22,322,322
0.22,328,326
0.22,325,323
0.22,324,324
0.22,324,322
0.22,320,323
0.22,326,324
0.22,321,323
0.22,327,326
0.22,325,323
0.22,329,328
0.22,325,323
0.22,327,328
0.22,324,323
0.22,328,327
0.22,325,323
0.22,324,327
0.22,325,324
0.22,327,327
0.22,327,326
0.22,326,327
0.22,329,326
0.22,325,325
0.22,329,328
0.22,323,324
0.22,327,327
0.22,323,323
0.22,330,327
0.22,322,322
0.22,326,326
0.22,323,322
0.22,328,327
0.22,325,323
0.22,326,326
0.22,325,325
0.22,327,325
0.22,326,324
0.22,326,325
0.22,328,326
0.22,323,323
0.22,330,327
0.22,324,324
0.23,326,327
0.29,326,324
0.29,327,328
0.29,326,323
0.29,329,329
0.29,323,323
0.29,329,328
0.29,325,325
0.35,328,327
0.35,326,327
0.35,325,326
0.35,327,326
0.35,323,324
0.35,329,327
0.36,325,322
0.42,326,325
0.42,322,322
0.42,327,326
0.42,323,322
0.42,326,325
0.42,322,320
0.43,322,324
0.48,323,320
0.48,323,322
0.48,321,321
0.48,320,321
0.48,324,323
0.48,323,322
0.49,324,324
0.54,320,321
0.54,326,326
0.54,322,321
0.54,327,324
0.54,321,319
0.55,325,325
0.56,320,319
0.62,323,324
0.62,321,321
0.62,324,324
0.62,321,320
0.62,323,323
0.62,323,322
0.62,322,322
0.68,323,323
0.68,322,320
0.68,322,322
0.68,321,319
0.68,322,323
0.68,319,318
0.69,324,324
0.75,316,317
0.75,320,322
0.75,319,318
0.75,319,320
0.75,316,317
0.75,318,319
0.75,317,317
0.81,319,318
0.81,316,317
0.81,317,315
0.81,318,317
0.81,311,313
0.81,318,316
0.82,312,311
0.87,319,317
0.87,311,311
0.87,313,315
0.87,310,310
0.87,313,314
0.88,309,309
0.88,313,312
0.95,309,309
0.95,309,310
0.95,311,309
0.95,306,307
0.95,312,312
0.95,308,309
0.95,311,310
1.01,307,308
1.01,311,310
1.01,307,306
1.01,314,313
1.01,310,308
1.01,313,313
1.02,308,309
1.07,313,312
1.07,309,310
1.07,313,312
1.07,309,308
1.07,311,310
1.07,312,311
1.08,310,310
1.13,314,313
1.13,310,310
1.13,313,313
1.13,309,309
1.13,316,316
1.14,313,312
1.15,317,317
1.2,315,314
1.2,319,318
1.2,317,315
1.2,318,318
1.2,320,318
1.2,317,317
1.21,321,319
1.27,317,317
1.27,321,319
1.27,316,317
1.27,322,320
1.27,316,316
1.27,320,321
1.28,317,316
1.34,320,322
1.34,319,318
1.34,320,321
1.34,321,318
1.34,323,322
1.34,322,320
1.34,320,322
1.4,320,321
1.4,318,320
1.4,322,321
1.4,321,320
1.4,320,320
1.4,317,316
1.41,322,322
1.46,315,314
1.46,321,321
1.46,316,315
1.46,317,318
1.46,316,315
1.47,318,318
1.47,313,313
1.54,315,316
1.54,316,314
1.54,313,314
1.54,318,315
1.54,312,313
1.54,315,315
1.54,311,312
1.6,316,315
1.6,310,311
1.6,317,316
1.6,314,312
1.6,316,316
1.6,315,313
1.6,318,316
1.66,313,311
1.66,314,316
1.66,315,312
1.66,315,314
1.66,317,315
1.66,314,314
1.67,316,315
1.73,313,312
1.73,317,316
1.73,314,312
1.73,314,316
1.73,311,311
1.73,316,316
1.74,312,312
1.79,316,316
1.79,313,311
1.79,314,315
1.79,313,313
1.79,316,316
1.79,315,314
1.8,316,315
1.85,318,316
1.85,315,316
1.85,320,319
1.85,315,314
1.85,322,320
1.86,317,315
1.87,320,320
1.93,317,316
1.93,320,319
1.93,316,315
1.93,319,320
1.93,317,318
1.93,321,321
1.93,321,320
1.99,320,322
1.99,326,323
1.99,321,322
1.99,324,324
1.99,320,321
1.99,326,325
2.0,322,321
2.06,324,324
2.06,320,321
2.06,327,326
2.06,321,322
2.06,327,327
2.06,326,323
2.06,324,325
2.12,325,323
2.12,325,325
2.12,325,324
2.12,324,324
2.12,326,325
2.12,323,324
2.13,328,326
2.18,324,323
2.18,326,326
2.18,320,321
2.18,327,328
2.18,323,323
2.19,326,326
2.19,321,321
2.26,325,325
2.26,325,323
2.26,324,325
2.26,325,324
2.26,323,323
2.26,325,323
2.26,324,323
2.32,324,324
2.32,321,321
2.32,328,325
2.32,320,321
2.32,325,326
2.32,321,320
2.33,326,326
2.38,324,321
2.38,324,325
2.38,320,320
2.38,325,324
2.38,322,322
2.38,323,322
2.39,321,321
2.44,320,321
2.44,326,323
2.44,320,321
2.44,327,325
2.44,321,320
2.45,326,325
2.46,320,319
2.52,324,324
2.52,320,320
2.52,324,324
2.52,322,320
2.52,322,323
2.52,322,321
2.52,323,322
2.58,322,321
2.58,322,320
2.58,320,321
2.58,321,321
2.58,323,322
2.58,318,319
2.59,322,321
2.65,316,314
2.65,322,321
2.65,316,314
2.65,318,319
2.65,316,314
2.65,316,317
2.65,314,313
2.71,316,316
2.71,314,314
2.71,315,314
2.71,315,314
2.71,314,314
2.71,318,315
2.72,310,313
2.77,316,314
2.77,312,312
2.77,314,314
2.77,308,309
2.77,314,313
2.78,309,308
2.78,314,313
2.85,309,310
2.85,313,315
2.85,314,311
2.85,315,313
2.85,316,314
2.85,312,313
2.85,317,314
2.91,313,313
2.91,317,316
2.91,314,313
2.91,316,317
2.91,315,313
2.91,318,319
2.92,314,313
2.97,317,318
2.97,314,314
2.97,317,316
2.97,312,313
2.97,316,316
2.97,316,314
2.98,314,314
3.04,314,314
3.04,310,311
3.04,314,313
3.04,310,309
3.04,313,313
3.04,306,308
3.05,310,311
3.1,308,307
3.1,310,311
3.1,304,305
3.1,309,310
3.1,306,305
3.1,310,309
3.11,307,306
3.18,308,310
3.18,311,308
3.18,311,311
3.18,312,312
3.18,308,310
3.18,312,312
3.18,311,310
3.24,314,314
3.24,310,310
3.24,314,314
3.24,311,311
3.24,316,315
3.24,311,310
3.24,317,316
3.3,311,310
3.3,314,314
3.3,313,313
3.3,313,313
3.3,315,314
3.3,313,313
3.31,318,316
3.36,313,313
3.36,317,318
3.36,315,314
3.36,320,319
3.36,318,317
3.37,321,322
3.37,319,318
3.43,322,322
3.43,319,320
3.43,321,322
3.43,321,318
3.43,320,320
3.43,323,320
3.44,319,319
3.49,323,319
3.49,319,318
3.49,323,322
3.49,316,317
3.49,323,321
3.5,316,316
3.51,322,321
3.56,315,314
3.56,319,318
3.56,316,313
3.56,319,318
3.56,315,316
3.56,319,317
3.57,318,317
3.63,319,318
3.63,318,317
3.63,314,316
3.63,320,320
3.63,317,318
3.63,322,321
3.64,319,317
3.7,323,322
3.7,318,317
3.7,324,322
3.7,319,317
3.7,321,321
3.7,318,317
3.7,320,320
3.76,322,321
3.76,319,320
3.76,321,320
3.76,320,319
3.76,321,321
3.76,318,318
3.77,320,318
3.82,318,316
3.82,322,319
3.82,315,313
3.82,318,319
3.82,317,314
3.82,318,318
3.83,314,312
3.88,317,317
3.88,317,315
3.88,316,317
3.88,316,315
3.88,315,315
3.89,317,317
3.9,314,315
3.96,319,317
3.96,313,315
3.96,318,319
3.96,316,314
3.96,318,319
3.96,314,313
3.96,318,318
4.02,313,314
4.02,316,318
4.02,314,314
4.02,316,317
4.02,315,315
4.02,316,315
4.03,315,314
4.09,314,314
4.09,316,314
4.09,313,314
4.09,316,317
4.09,314,313
4.09,319,317
4.1,313,312
4.15,316,317
4.15,312,312
4.15,314,315
4.15,314,312
4.15,316,314
4.15,316,314
4.16,312,315
4.21,318,315
4.21,314,315
4.21,318,318
4.21,316,315
4.21,321,319
4.22,316,316
4.23,323,322
4.29,318,317
4.29,320,321
4.29,318,316
4.29,323,322
4.29,317,317
4.29,321,321
4.29,319,317
4.35,319,320
4.35,320,318
4.35,322,320
4.35,320,320
4.35,319,318
4.35,321,321
4.36,318,319
4.42,325,322
4.42,321,321
4.42,327,326
4.42,322,322
4.42,326,326
